OBJECTID,zip_1,mid_03,mid_04,mid_05,mid_06,mid_07,mid_08,mid_09,mid_10,mid_11,mid_12,Shape_Length,Shape_Area,SS_SEED,SS_GROUP
56,10111,-0.413034182000000,-0.424032652000000,-0.403738987000000,-0.424814792000000,-0.430086157000000,-0.409303984000000,-0.411462156000000,-0.413284511000000,-0.414871029000000,-0.448274496000000,0.003840429780808,0.000000511980644,0,1
57,10112,-0.413034182000000,-0.380109230000000,-0.360392353000000,-0.353808481000000,-0.360685287000000,-0.368959133000000,-0.339063107000000,-0.353611652000000,-0.371071714000000,-0.377394356000000,0.005847766506377,0.000001626646825,1,1
58,10167,-0.397682209000000,-0.380109230000000,-0.360392353000000,-0.396412267000000,-0.332924939000000,-0.328614282000000,-0.295623677000000,-0.323775223000000,-0.356471942000000,-0.349042299000000,0.004664825600077,0.000000905389634,0,1
59,10308,-0.489794047000000,-0.497238355000000,-0.475983378000000,-0.481619841000000,-0.499487027000000,-0.489993686000000,-0.512820824000000,-0.458039154000000,-0.473270117000000,-0.462450524000000,0.113732264031471,0.000547150694148,0,1
60,10474,0.078228953000000,0.029842708000000,0.029727357000000,0.015424337000000,0.125120803000000,0.155523932000000,0.182210047000000,0.153607645000000,0.139920302000000,0.062062515000000,0.093940532701788,0.000425992064376,0,4
61,11104,-0.366978263000000,-0.394750371000000,-0.432636743000000,-0.424814792000000,-0.416205983000000,-0.409303984000000,-0.396982346000000,-0.428202725000000,-0.444070573000000,-0.391570384000000,0.059851944643096,0.000108861827166,0,1
62,11212,-0.320922344000000,-0.350826949000000,-0.331494596000000,-0.311204694000000,-0.319044765000000,-0.315165998000000,-0.382502536000000,-0.428202725000000,-0.414871029000000,-0.349042299000000,0.087055799961569,0.000430041616288,0,1
63,11226,-0.198106561000000,-0.204415542000000,-0.187005815000000,-0.225997121000000,-0.235763721000000,-0.288269431000000,-0.252184248000000,-0.234265935000000,-0.210474223000000,-0.164753934000000,0.078612641579523,0.000352072628600,0,1
64,11236,-0.136698669000000,-0.058004136000000,-0.129210303000000,-0.055581974000000,-0.055321459000000,-0.059648608000000,-0.034987100000000,-0.114920218000000,-0.049876733000000,-0.122225850000000,0.143871965908188,0.001001226175242,0,4
65,11351,-0.551201939000000,-0.541161777000000,-0.533778890000000,-0.538424890000000,-0.527247375000000,-0.530338538000000,-0.541780444000000,-0.547548442000000,-0.546268976000000,-0.547506693000000,0.005105982097963,0.000000805313667,0,1
66,11359,-0.535849966000000,-0.526520636000000,-0.519330012000000,-0.524223628000000,-0.513367201000000,-0.516890254000000,-0.527300634000000,-0.532630228000000,-0.531669204000000,-0.533330665000000,0.036702394092356,0.000072898268705,0,1
